,Title,Job Type,Company Name,Company Industry,Company City,Company Country,Salary Avg,Salary Min,Salary Max,Experience,Min Experience,Max Experience,Skills,Published
248,Distribution Intern,Internship,Zen Rooms,Hotels & Accomodation,Jakarta,Indonesia,1000000,0,2000000,0-1,0,1,"['Attention to Detail', 'Problem Solving', 'Public Relations', 'Analytical Skills', 'Content Creation']",2022-01-17 10:41:27
249,OTA Content Intern,Internship,Zen Rooms,Hotels & Accomodation,Jakarta,Indonesia,1000000,0,2000000,0-1,0,1,"['Attention to Detail', 'Problem Solving', 'Analytical Skills', 'Content Strategy', 'Project Management']",2022-01-17 10:38:16
250,Assistant Accounting Manager,Full-time,GGL Life,Health & Wellness,Surabaya,Indonesia,0,0,0,1-4,1,4,"['Attention to Detail', 'Accounting', 'Communication Skills']",2022-01-17 07:58:01
251,Program Lead,Contract,Kitabisa.com,Crowdfunding,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Attention to Detail', 'Research', 'Communication Skills', 'Project Management']",2022-01-13 03:07:32
252,Corporate Legal & Litigation Officer,Full-time,Tunaiku,"Lending, loans, and credit",Jakarta,Indonesia,6000000,5000000,7000000,1-4,1,4,"['Attention to Detail', 'Problem Solving', 'Analytical Skills', 'Communication Skills']",2022-01-13 02:37:44
253,Purchasing Intern,Internship,Somethinc - Beautyhaul,Marketplaces,Jakarta,Indonesia,0,0,0,0-1,0,1,"['Attention to Detail', 'Microsoft Excel', 'Purchasing', 'Negotiation']",2022-01-12 10:04:11
254,Graphic Designer,Full-time,Laku6 (Rebonics),Retail (consumer electronics),Jakarta,Indonesia,4750000,4500000,5000000,0-1,0,1,"['Attention to Detail', 'Adobe Illustrator', 'Adobe Premiere', 'Content Marketing', 'Business Analysis', 'Adobe Indesign', 'Copywriting & Editing', 'Adobe Photoshop', 'Communication Skills', 'English Language']",2022-01-12 06:51:49
255,Warehouse Officer,Full-time,Hypefast,Ecommerce aggregators,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Attention to Detail', 'Sales Support', 'Communication Skills']",2022-01-12 03:34:16
256,Legal Manager,Full-time,PT Formasi Agung Selaras (Famous Allstars),Digital Media,Jakarta,Indonesia,12750000,12000000,13500000,4-7,4,7,"['Attention to Detail', 'Problem Solving', 'Legal', 'Leadership', 'Communication Skills']",2022-01-11 08:35:38
257,Digital Marketing Executive,Full-time,Somethinc - Beautyhaul,Marketplaces,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Attention to Detail', 'Facebook Advertising', 'Digital Marketing', 'Communication Skills', 'Marketing']",2022-01-11 06:58:33
258,Admin Staff,Full-time,PT Wahana Semesta Ilmu,Lifestyle Businesses,Jakarta,Indonesia,4850000,4700000,5000000,0-1,0,1,"['Attention to Detail', 'Google Apps', 'International Business', 'Microsoft Excel', 'English Language']",2022-01-10 05:06:19
259,Secretary BOD,Full-time,kumparan.com,News,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Attention to Detail', 'Operations Management', 'Microsoft']",2022-01-09 16:17:30
260,HR Compensation & Benefit,Full-time,Hukumonline,Legal,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Attention to Detail', 'Compensation & Benefits', 'Human Resources', 'Analytics & Reporting', 'Analytical Skills', 'Payroll']",2022-01-07 11:32:54
261,On Page Content Writer,Contract,99.co,Marketplaces (Property),"Bandung, Java",Indonesia,4850000,3700000,6000000,1-4,1,4,"['Attention to Detail', 'Writing', 'Writer', 'Copywriting & Editing', 'Creative Writing', 'Copywriting', 'Communication Skills', 'SEO']",2022-01-07 03:59:30
262,Developer Operation,Full-time,Pasifik Satelit Nusantara,Telecommunications,Indonesia Bulk Terminal,Indonesia,1,1,1,0-1,0,1,"['Attention to Detail', 'Problem Solving', 'Git', 'Javascript', 'PHP', 'SVN', 'CSS', 'HTML5 & CSS3', 'Python', 'jQuery', 'REST APIs', 'SQL', 'Analytical Skills', 'Communication Skills']",2022-01-06 10:39:57
263,Content Creator/Librarian Intern,Internship,SIRCLO,Ecommerce seller tools and services,Tangerang,Indonesia,0,0,0,0-1,0,1,"['Attention to Detail', 'Writing', 'Copywriting', 'Analytical Skills', 'Communication Skills', 'Content Creation']",2022-01-05 16:44:59
264,Creative Stylist (Mom & Kids),Full-time,Hypefast,Ecommerce aggregators,Jakarta,Indonesia,7000000,6000000,8000000,1-4,1,4,"['Attention to Detail', 'Creative Direction', 'Teamwork']",2022-01-05 11:10:09
265,HR & GA,Full-time,Cicil,"Lending, loans, and credit",Jakarta,Indonesia,1,1,1,0-1,0,1,"['Attention to Detail', 'Microsoft', 'Communication Skills']",2022-01-05 03:53:55
266,Campaign Strategist Officer,Full-time,Boleh Dicoba Digital,Social Media Marketing,"Bandung, Java",Indonesia,5000000,4500000,5500000,1-4,1,4,"['Attention to Detail', 'Strategic Planning', 'Content Marketing', 'Social Media']",2022-01-03 06:13:57
267,Program Development Officer,Full-time,Boleh Dicoba Digital,Social Media Marketing,"Bandung, Java",Indonesia,5000000,4500000,5500000,0-1,0,1,"['Attention to Detail', 'Social Media', 'Communications']",2022-01-03 05:12:08
268,Community Support,Full-time,Aruna,Retail (food),Jakarta,Indonesia,0,0,0,1-4,1,4,"['Attention to Detail', 'Community Management', 'Google Apps', 'Communication Skills']",2021-12-31 06:57:59
269,Community Activation Support,Full-time,Aruna,Retail (food),Jakarta,Indonesia,0,0,0,1-4,1,4,"['Attention to Detail', 'Microsoft Excel', 'Communication Skills', 'Project Management']",2021-12-31 06:37:35
270,Business Operations Support,Full-time,Aruna,Retail (food),Jakarta,Indonesia,0,0,0,1-4,1,4,"['Attention to Detail', 'Analytics & Reporting', 'Communication Skills']",2021-12-31 05:01:11
271,HR Generalist,Full-time,MyRobin Indonesia,Human Resource,Yogyakarta,Indonesia,2750000,2500000,3000000,0-1,0,1,"['Attention to Detail', 'Human Resources', 'English Language', 'Negotiation']",2021-12-28 11:38:35
272,Human Resources Internship,Internship,kumparan.com,News,Jakarta,Indonesia,0,0,0,0-1,0,1,"['Attention to Detail', 'Recruiting', 'System Administration', 'Communication Skills']",2021-12-28 11:05:33
273,Talent Manager (KOL),Full-time,PT WHIM Management Indonesia (Evos E-sports),Entertainment Industry,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Attention to Detail', 'Community Management', 'Relationship Building', 'Communication Skills', 'Project Management']",2021-12-26 08:40:26
274,Business Content & Project Development Specialist,Full-time,Inspigo,Audio,Jakarta,Indonesia,0,0,0,0-1,0,1,"['Attention to Detail', 'Business Development', 'Leadership', 'Communication Skills', 'Agile Project Management', 'Cross-Functional Team Leadership', 'Project Management']",2021-12-24 12:23:45
275,Learning Partner & Community Engagement Specialist,Full-time,Inspigo,Audio,Jakarta,Indonesia,0,0,0,0-1,0,1,"['Attention to Detail', 'Business Development', 'Leadership', 'Communication Skills', 'Agile Project Management', 'Cross-Functional Team Leadership', 'Project Management']",2021-12-24 12:17:54
276,Business Development Admin,Full-time,Inspigo,Audio,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Attention to Detail', 'Agile', 'Business Development', 'Leadership', 'Communication Skills', 'Project Management']",2021-12-24 10:44:45
277,People Support,Contract,Tunaiku,"Lending, loans, and credit",Jakarta,Indonesia,4500000,4000000,5000000,1-4,1,4,"['Attention to Detail', 'Time Management', 'System Administration']",2021-12-21 04:07:32
278,Client Success and Operations Manager,Full-time,TADA,SaaS,Jakarta,Indonesia,17500000,15000000,20000000,4-7,4,7,"['Attention to Detail', 'Client Relations', 'Customer Experience', 'Customer Service', 'Customer Relationship Management', 'Communication Skills', 'English Language', 'Communications']",2021-12-20 03:14:20
279,Due Diligence Staff,Full-time,KIQANI,Ecommerce aggregators,Jakarta,Indonesia,8500000,7000000,10000000,1-4,1,4,"['Attention to Detail', 'Problem Solving', 'Microsoft Excel', 'Project Management']",2021-12-10 04:45:11
280, Executive Assistant (Women Only),Full-time,Lima,Marketplaces,Jakarta,Indonesia,8500000,7000000,10000000,1-4,1,4,"['Attention to Detail', 'Event Management', 'Microsoft Office', 'Time Management', 'Communication Skills']",2021-12-09 09:22:18
281,Legal Manager,Full-time,Somethinc - Beautyhaul,Marketplaces,Jakarta,Indonesia,0,0,0,7-10,7,10,"['Attention to Detail', 'Legal', 'Communication Skills']",2021-12-08 06:42:59
282,Desk Collection,Contract,Tunaiku,"Lending, loans, and credit",Jakarta,Indonesia,4250000,4000000,4500000,1-4,1,4,"['Attention to Detail', 'Communication Skills', 'Teamwork']",2021-12-03 09:10:23
283,Purchasing Associate,Full-time,Rukita,Marketplaces (Property),Jakarta,Indonesia,0,0,0,0-1,0,1,"['Attention to Detail', 'Procurement', 'Communication Skills', 'Purchasing']",2021-12-03 09:04:02
284,Assistant Accounting & Tax Manager,Full-time,kumparan.com,News,Jakarta,Indonesia,0,0,0,7-10,7,10,"['Attention to Detail', 'Accounting', 'Financial Management']",2021-12-02 03:44:52
285,Admin Kontrak,Contract,Tunaiku,"Lending, loans, and credit",Jakarta,Indonesia,4250000,4000000,4500000,1-4,1,4,"['Attention to Detail', 'System Administration', 'Communication Skills']",2021-12-02 01:45:04
286,Fleet Intern,Internship,Chilibeli,Marketplaces (food),"Bandung, Java",Indonesia,2250000,1500000,3000000,0-1,0,1,"['Attention to Detail', 'Agile', 'Communication Skills']",2021-12-01 04:21:21
287,Credit Risk Analyst (6 Month Contract),Contract,KoinWorks,"Lending, loans, and credit",Jakarta,Indonesia,0,0,0,1-4,1,4,"['Attention to Detail', 'Risk Analysis', 'Communication Skills']",2021-11-30 05:41:17
288,Logistic Coordinator,Full-time,Chilibeli,Marketplaces (food),Depok,Indonesia,5000000,4000000,6000000,1-4,1,4,"['Attention to Detail', 'Communication Skills', 'Team Leadership']",2021-11-30 05:07:18
289,Mitra Kurir (Driver) Mobil,Part-time,Chilibeli,Marketplaces (food),Ciputat,Indonesia,3000000,2000000,4000000,0-1,0,1,"['Attention to Detail', 'Logistics', 'Communication Skills']",2021-11-30 05:05:22
290,Government Relations,Full-time,Pintek,"Lending, loans, and credit",Jakarta,Indonesia,9000000,8000000,10000000,0-1,0,1,"['Attention to Detail', 'Writing', 'Negotiation']",2021-11-30 02:09:42
291,Associate Accountant,Full-time,Andalin,Logistics,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Attention to Detail', 'Accounting', 'Business Plan']",2021-11-29 07:24:32
292,Reporter kumparan MOM,Full-time,kumparan.com,News,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Attention to Detail', 'Writing', 'Journalism', 'Analytical Skills', 'Communication Skills']",2021-11-26 11:23:03
293,Freelance Accounting,Freelance,PT Formasi Agung Selaras (Famous Allstars),Digital Media,Jakarta,Indonesia,2250000,2200000,2300000,0-1,0,1,"['Attention to Detail', 'Accounting', 'Audit']",2021-11-22 15:53:20
294,Copywriter,Full-time,Pintek,"Lending, loans, and credit",Jakarta,Indonesia,0,0,0,1-4,1,4,"['Attention to Detail', 'Content Marketing', 'Copywriting', 'Communication Skills']",2021-11-22 11:20:47
295,Credit Administration Staff,Contract,Tunaiku,"Lending, loans, and credit",Jakarta,Indonesia,4500000,4000000,5000000,1-4,1,4,"['Attention to Detail', 'Time Management', 'System Administration']",2021-11-21 08:35:46
296,Junior Accounting Staff,Full-time,WIR Global,Designers,Jakarta,Indonesia,4250000,4000000,4500000,0-1,0,1,"['Attention to Detail', 'Accounting', 'Accounts Payable']",2021-12-15 08:46:37
297,Financial Analyst - Insurance,Full-time,Halodoc ID,Health & Wellness,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Corporate Finance', 'Attention to Detail', 'Financial Analysis', 'Financial Management']",2022-01-11 17:25:28
298,Quality Assurance Associate,Full-time,Rukita,Marketplaces (Property),Jakarta,Indonesia,5500000,5000000,6000000,1-4,1,4,"['Professional Services', 'Attention to Detail', 'Quality Control']",2022-01-07 09:04:19
299,Business Development Executive,Full-time,Inspigo,Audio,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Cold Calling', 'Attention to Detail', 'Customer Acquisition', 'Client Relations', 'Sales Strategy & Management', 'Sales', 'Customer Relationship Management', 'Sales & Marketing']",2022-01-04 05:36:37
300,IT Personal Assistant (Admin),Contract,Indocyber Global Teknologi,IT & Cybersecurity,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Microsoft Word', 'Attention to Detail', 'Vendor Management', 'Microsoft Excel']",2021-12-22 11:04:07
301,Finance Accounting Intern,Internship,BukuKas,Financial accounting and admin,Jakarta,Indonesia,0,0,0,0-1,0,1,"['Corporate Finance', 'Attention to Detail', 'Accounting']",2021-12-20 06:58:21
302,Finance Manager,Full-time,TADA,SaaS,Jakarta,Indonesia,20000000,15000000,25000000,4-7,4,7,"['Corporate Finance', 'Attention to Detail', 'Accounting', 'Financial Analysis', 'Communication Skills', 'English Language', 'Communications', 'Financial Management']",2021-12-20 03:07:26
303,Digital Project Consultant,Full-time,Sribu.com,Designers,Jakarta,Indonesia,7250000,5500000,9000000,1-4,1,4,"['SEO/SEM', 'Attention to Detail', 'Email Marketing', 'Facebook Advertising', 'Client Relations', 'Strategic Planning', 'Time Management', 'Google Analytics', 'Analytical Skills', 'Communication Skills', 'SEO']",2021-12-16 02:50:05
304,Finance-Accounting,Full-time,Ziel Kids,Retail (fashion and beauty),Jakarta,Indonesia,5500000,5000000,6000000,1-4,1,4,"['Corporate Finance', 'Attention to Detail', 'Accounting', 'Microsoft Excel', 'Communication Skills']",2021-12-08 06:24:35
305,Administration Staff,Full-time,KIQANI,Ecommerce aggregators,Jakarta,Indonesia,5250000,4500000,6000000,0-1,0,1,"['Microsoft PowerPoint', 'Attention to Detail', 'Microsoft Office', 'Microsoft Excel', 'Communication Skills', 'Operations']",2021-12-06 13:04:57
306,Business Process Control Spv,Full-time,Payfazz (PT. Payfazz Teknologi Nusantara),Payments and remittance,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Microsoft Visio', 'Attention to Detail', 'Process Management', 'Process Improvement']",2021-11-24 08:14:05
307,Supervisor FAT,Full-time,TADA,SaaS,Jakarta,Indonesia,16500000,13000000,20000000,1-4,1,4,"['Corporate Finance', 'Attention to Detail', 'Accounting', 'Financial Analysis', 'Communication Skills', 'English Language', 'Communications', 'Financial Management']",2021-11-24 03:53:32
308,Partner Management Specialist,Full-time,Tjetak,Ecommerce seller tools and services,Jakarta,Indonesia,7000000,6000000,8000000,0-1,0,1,"['Business Development & Partnerships', 'Attention to Detail', 'Business Development', 'Communication Skills']",2021-12-22 04:01:16
309,Client Representative,Full-time,TADA,SaaS,Jakarta,Indonesia,11500000,8000000,15000000,1-4,1,4,"['Business Development & Partnerships', 'Attention to Detail', 'Business Development', 'Communication Skills', 'English Language', 'Communications', 'Sales & Marketing']",2021-12-19 03:43:24
310,Brand Activation Manager,Full-time,PT Wahana Semesta Ilmu,Lifestyle Businesses,Jakarta,Indonesia,30000000,25000000,35000000,4-7,4,7,"['Product Marketing', 'Marketing Strategy', 'Attention to Detail', 'Social Media Marketing', 'Branding', 'Content Marketing', 'Social Media Strategy', 'Social Media', 'Brand & Identity Design', 'Brand Management', 'Marketing Management', 'Marketing', 'English Language', 'Marketing Communications', 'Brand Design & Strategy']",2022-01-11 08:45:24
311,Account Manager Merchandiser (Bandung / Jakarta),Full-time,Evermos,Marketplaces (miscellaneous niche),"Bandung, Java",Indonesia,0,0,0,1-4,1,4,"['E-commerce', 'Business Development & Partnerships', 'Presentation Skills', 'Attention to Detail', 'Customer Service', 'Business Development', 'Analytical Skills', 'Communication Skills', 'Marketing', 'Marketing Communications', 'Negotiation', 'Sales & Marketing']",2021-11-25 03:45:16
312,Technical Support (Batam),Full-time,iSeller,Ecommerce seller tools and services,Batam Island,Indonesia,5000000,4000000,6000000,1-4,1,4,"['Support', 'Customer Experience', 'Technical Support']",2022-01-08 04:11:10
313,Marketing Executive (TataSkola),Full-time,Pintek,"Lending, loans, and credit",Jakarta,Indonesia,0,0,0,1-4,1,4,"['Marketing Strategy', 'Event Management', 'Event Planning', 'Market Research & Analysis', 'Events', 'Market Research', 'Marketing Management', 'Marketing', 'Marketing Communications', 'Sales & Marketing']",2021-11-29 03:14:07
314,Business Development (Batam),Full-time,iSeller,Ecommerce seller tools and services,Batam Island,Indonesia,7500000,5000000,10000000,1-4,1,4,"['Business Development & Partnerships', 'Business Development', 'Communication Skills', 'Marketing Communications', 'Sales & Marketing']",2021-11-22 01:41:25
315,Business Development Executive (Batam Area),Full-time,Zen Rooms,Hotels & Accomodation,Batam Island,Indonesia,6500000,4500000,8500000,1-4,1,4,"['Presentation Skills', 'Sales', 'Business Development', 'Communication Skills', 'Market Research', 'Negotiation']",2022-01-13 07:34:45
316,Senior System Administrator (Batam),Contract,InnoArk,Enterprise Software,Batam Island,Indonesia,15000000,12000000,18000000,4-7,4,7,"['VMware ESXi', 'Amazon Web Services (AWS)', 'VMware vSphere', 'Network Security', 'Cisco']",2022-01-13 03:03:56
317,Customer Success Manager (Batam),Full-time,iSeller,Ecommerce seller tools and services,Batam Island,Indonesia,0,0,0,1-4,1,4,"['Customer Experience', 'Customer Service', 'Customer Development', 'Customer Relationship Management']",2021-12-27 09:23:31
318,Customer Support Executive for IT Solution (Batam),Full-time,InnoArk,Enterprise Software,Batam Island,Indonesia,0,0,0,0-1,0,1,"['ITIL', 'Support', 'Jira', 'Microsoft']",2022-01-12 03:17:45
319,Project Manager Marketing,Full-time,Rata,Dental,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Marketing Strategy', 'Digital Marketing', 'Marketing', 'Project Management']",2021-12-23 10:28:46
320,Branch Jr. Manager Bandung,Full-time,Rata,Dental,"Bandung, Java",Indonesia,5000000,0,10000000,1-4,1,4,"['Business Operations', 'People Management', 'Sales Strategy & Management', 'Customer Experience']",2021-12-23 07:43:15
321,Talent Management Intern,Internship,Rata,Dental,Jakarta,Indonesia,0,0,0,0-1,0,1,"['Human Resources', 'Analytics & Reporting', 'Microsoft Excel']",2021-12-22 10:08:44
322,Senior Fullstack Engineer,Full-time,Rata,Dental,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Laravel', 'PHP', 'Java']",2021-12-14 02:17:50
323,Site Reliability Engineer,Full-time,Rata,Dental,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Amazon Web Services (AWS)', 'Javascript', 'Java', 'Python', 'Ruby']",2021-12-08 09:28:49
324,Frontend Engineer,Full-time,Rata,Dental,Jakarta,Indonesia,0,0,0,1-4,1,4,"['React.js', 'Javascript', 'CSS', 'jQuery', 'Front-end Development']",2021-12-08 09:24:58
325,Scrum Master,Full-time,Rata,Dental,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Product Strategy', 'Scrum Master', 'Product Management', 'Scrum', 'Agile Project Management']",2021-12-07 07:00:03
326,Admin Procurement Intern,Internship,Rata,Dental,Indonesia Bulk Terminal,Indonesia,0,0,0,0-1,0,1,"['Procurement', 'System Administration', 'Inventory']",2021-11-25 05:14:33
327,Sales and Marketing,Full-time,Batavianet (PT Ipro Solusi Canggih),Software,Cengkareng,Indonesia,5900000,4800000,7000000,1-4,1,4,"['Marketing Strategy', 'Sales Strategy & Management', 'Sales', 'Customer Service', 'Digital Marketing', 'Marketing Management', 'Marketing Communications', 'Sales & Marketing']",2021-11-22 02:55:13
328,IT Quality Assurance (Software Tester),Full-time,InnoArk,Enterprise Software,Batam Island,Indonesia,0,0,0,1-4,1,4,"['Test Plans', 'Test Automation', 'Usability Testing', 'Software Testing', 'Test Cases', 'Functional Testing', 'Regression Testing']",2022-01-11 08:35:49
